transaction_id,company_id,type,amount,date,category,description,reference_type,reference_id,status
TX_FUT_IN_00012,TATA001,CUSTOMER_PAYMENT,93967.98,2026-10-03,CUSTOMER_COLLECTION,Collection of future receivable REC_FUT_0372,RECEIVABLE,REC_FUT_0372,CLEARED
TX_FUT_IN_00013,TATA001,CUSTOMER_PAYMENT,240469.52,2026-10-03,CUSTOMER_COLLECTION,Collection of future receivable REC_FUT_0373,RECEIVABLE,REC_FUT_0373,CLEARED
TX_FUT_OUT_00014,TATA001,SUPPLIER_PAYMENT,68573.91,2026-10-05,RAW_MATERIAL,Payment cleared for future invoice INV_FUT_0266,INVOICE,INV_FUT_0266,CLEARED
TX_FUT_OUT_00015,TATA001,SUPPLIER_PAYMENT,148629.8,2026-10-06,RAW_MATERIAL,Payment cleared for future invoice INV_FUT_0268,INVOICE,INV_FUT_0268,CLEARED
TX_FUT_IN_00016,TATA001,CUSTOMER_PAYMENT,90878.7,2026-10-07,CUSTOMER_COLLECTION,Collection of future receivable REC_FUT_0377,RECEIVABLE,REC_FUT_0377,CLEARED
TX_FUT_IN_00017,TATA001,CUSTOMER_PAYMENT,42841.35,2026-10-10,CUSTOMER_COLLECTION,Collection of future receivable REC_FUT_0367,RECEIVABLE,REC_FUT_0367,CLEARED
TX_FUT_OUT_00018,TATA001,SUPPLIER_PAYMENT,83546.76,2026-10-11,RAW_MATERIAL,Payment cleared for future invoice INV_FUT_0281,INVOICE,INV_FUT_0281,CLEARED
TX_FUT_IN_00019,TATA001,CUSTOMER_PAYMENT,292594.57,2026-10-12,CUSTOMER_COLLECTION,Collection of future receivable REC_FUT_0382,RECEIVABLE,REC_FUT_0382,CLEARED
TX_FUT_IN_00020,TATA001,CUSTOMER_PAYMENT,96985.77,2026-10-12,CUSTOMER_COLLECTION,Collection of future receivable REC_FUT_0398,RECEIVABLE,REC_FUT_0398,CLEARED
TX_FUT_OUT_00021,TATA001,SUPPLIER_PAYMENT,68902.88,2026-10-12,RAW_MATERIAL,Payment cleared for future invoice INV_FUT_0260,INVOICE,INV_FUT_0260,CLEARED
TX_FUT_OUT_00022,TATA001,SUPPLIER_PAYMENT,101727.84,2026-10-12,RAW_MATERIAL,Payment cleared for future invoice INV_FUT_0271,INVOICE,INV_FUT_0271,CLEARED
TX_FUT_IN_00023,TATA001,CUSTOMER_PAYMENT,243018.94,2026-10-13,CUSTOMER_COLLECTION,Collection of future receivable REC_FUT_0366,RECEIVABLE,REC_FUT_0366,CLEARED
TX_FUT_OUT_00024,TATA001,SUPPLIER_PAYMENT,140555.66,2026-10-13,RAW_MATERIAL,Payment cleared for future invoice INV_FUT_0261,INVOICE,INV_FUT_0261,CLEARED
TX_FUT_IN_00025,TATA001,CUSTOMER_PAYMENT,133002.41,2026-10-15,CUSTOMER_COLLECTION,Collection of future receivable REC_FUT_0380,RECEIVABLE,REC_FUT_0380,CLEARED
TX_FUT_IN_00026,TATA001,CUSTOMER_PAYMENT,47978.14,2026-10-15,CUSTOMER_COLLECTION,Collection of future receivable REC_FUT_0399,RECEIVABLE,REC_FUT_0399,CLEARED
TX_FUT_IN_00027,TATA001,CUSTOMER_PAYMENT,227287.65,2026-10-15,CUSTOMER_COLLECTION,Collection of future receivable REC_FUT_0401,RECEIVABLE,REC_FUT_0401,CLEARED
TX_FUT_OUT_00028,TATA001,SUPPLIER_PAYMENT,69820.02,2026-10-16,RAW_MATERIAL,Payment cleared for future invoice INV_FUT_0263,INVOICE,INV_FUT_0263,CLEARED
TX_FUT_OUT_00029,TATA001,SUPPLIER_PAYMENT,140756.65,2026-10-16,RAW_MATERIAL,Payment cleared for future invoice INV_FUT_0264,INVOICE,INV_FUT_0264,CLEARED
TX_FUT_OUT_00030,TATA001,SUPPLIER_PAYMENT,81395.73,2026-10-18,RAW_MATERIAL,Payment cleared for future invoice INV_FUT_0265,INVOICE,INV_FUT_0265,CLEARED
TX_FUT_IN_00031,TATA001,CUSTOMER_PAYMENT,52588.91,2026-10-19,CUSTOMER_COLLECTION,Collection of future receivable REC_FUT_0376,RECEIVABLE,REC_FUT_0376,CLEARED
TX_FUT_IN_00032,TATA001,CUSTOMER_PAYMENT,59228.53,2026-10-19,CUSTOMER_COLLECTION,Collection of future receivable REC_FUT_0385,RECEIVABLE,REC_FUT_0385,CLEARED
TX_FUT_IN_00033,TATA001,CUSTOMER_PAYMENT,322305.02,2026-10-19,CUSTOMER_COLLECTION,Collection of future receivable REC_FUT_0404,RECEIVABLE,REC_FUT_0404,CLEARED
TX_FUT_IN_00034,TATA001,CUSTOMER_PAYMENT,96388.0,2026-10-19,CUSTOMER_COLLECTION,Collection of future receivable REC_FUT_0409,RECEIVABLE,REC_FUT_0409,CLEARED
TX_FUT_IN_00035,TATA001,CUSTOMER_PAYMENT,383507.47,2026-10-20,CUSTOMER_COLLECTION,Collection of future receivable REC_FUT_0405,RECEIVABLE,REC_FUT_0405,CLEARED
TX_FUT_IN_00036,TATA001,CUSTOMER_PAYMENT,62391.97,2026-10-20,CUSTOMER_COLLECTION,Collection of future receivable REC_FUT_0410,RECEIVABLE,REC_FUT_0410,CLEARED
TX_FUT_IN_00037,TATA001,CUSTOMER_PAYMENT,41542.68,2026-10-20,CUSTOMER_COLLECTION,Collection of future receivable REC_FUT_0411,RECEIVABLE,REC_FUT_0411,CLEARED
TX_FUT_IN_00038,TATA001,CUSTOMER_PAYMENT,79869.41,2026-10-21,CUSTOMER_COLLECTION,Collection of future receivable REC_FUT_0384,RECEIVABLE,REC_FUT_0384,CLEARED
TX_FUT_IN_00039,TATA001,CUSTOMER_PAYMENT,322981.51,2026-10-22,CUSTOMER_COLLECTION,Collection of future receivable REC_FUT_0390,RECEIVABLE,REC_FUT_0390,CLEARED
TX_FUT_IN_00040,TATA001,CUSTOMER_PAYMENT,154001.23,2026-10-22,CUSTOMER_COLLECTION,Collection of future receivable REC_FUT_0394,RECEIVABLE,REC_FUT_0394,CLEARED
TX_FUT_IN_00041,TATA001,CUSTOMER_PAYMENT,71043.52,2026-10-22,CUSTOMER_COLLECTION,Collection of future receivable REC_FUT_0406,RECEIVABLE,REC_FUT_0406,CLEARED
TX_FUT_IN_00042,TATA001,CUSTOMER_PAYMENT,106597.05,2026-10-22,CUSTOMER_COLLECTION,Collection of future receivable REC_FUT_0413,RECEIVABLE,REC_FUT_0413,CLEARED
TX_FUT_IN_00043,TATA001,CUSTOMER_PAYMENT,40797.99,2026-10-23,CUSTOMER_COLLECTION,Collection of future receivable REC_FUT_0374,RECEIVABLE,REC_FUT_0374,CLEARED
TX_FUT_IN_00044,TATA001,CUSTOMER_PAYMENT,154929.17,2026-10-23,CUSTOMER_COLLECTION,Collection of future receivable REC_FUT_0375,RECEIVABLE,REC_FUT_0375,CLEARED
TX_FUT_IN_00045,TATA001,CUSTOMER_PAYMENT,190148.49,2026-10-23,CUSTOMER_COLLECTION,Collection of future receivable REC_FUT_0386,RECEIVABLE,REC_FUT_0386,CLEARED
TX_FUT_OUT_00046,TATA001,SUPPLIER_PAYMENT,203280.38,2026-10-23,RAW_MATERIAL,Payment cleared for future invoice INV_FUT_0269,INVOICE,INV_FUT_0269,CLEARED
TX_FUT_OUT_00047,TATA001,SUPPLIER_PAYMENT,71129.12,2026-10-23,RAW_MATERIAL,Payment cleared for future invoice INV_FUT_0278,INVOICE,INV_FUT_0278,CLEARED
TX_FUT_IN_00048,TATA001,CUSTOMER_PAYMENT,268441.43,2026-10-25,CUSTOMER_COLLECTION,Collection of future receivable REC_FUT_0369,RECEIVABLE,REC_FUT_0369,CLEARED
TX_FUT_IN_00049,TATA001,CUSTOMER_PAYMENT,65404.67,2026-10-25,CUSTOMER_COLLECTION,Collection of future receivable REC_FUT_0412,RECEIVABLE,REC_FUT_0412,CLEARED
TX_FUT_OUT_00050,TATA001,SUPPLIER_PAYMENT,32902.92,2026-10-25,RAW_MATERIAL,Payment cleared for future invoice INV_FUT_0279,INVOICE,INV_FUT_0279,CLEARED
TX_FUT_IN_00051,TATA001,CUSTOMER_PAYMENT,75229.76,2026-10-26,CUSTOMER_COLLECTION,Collection of future receivable REC_FUT_0396,RECEIVABLE,REC_FUT_0396,CLEARED
TX_FUT_OUT_00052,TATA001,SUPPLIER_PAYMENT,81469.81,2026-10-26,RAW_MATERIAL,Payment cleared for future invoice INV_FUT_0270,INVOICE,INV_FUT_0270,CLEARED
TX_FUT_IN_00053,TATA001,CUSTOMER_PAYMENT,247336.96,2026-10-27,CUSTOMER_COLLECTION,Collection of future receivable REC_FUT_0422,RECEIVABLE,REC_FUT_0422,CLEARED
TX_FUT_OUT_00054,TATA001,SUPPLIER_PAYMENT,87468.18,2026-10-27,RAW_MATERIAL,Payment cleared for future invoice INV_FUT_0290,INVOICE,INV_FUT_0290,CLEARED
TX_FUT_IN_00055,TATA001,CUSTOMER_PAYMENT,68546.81,2026-10-28,CUSTOMER_COLLECTION,Collection of future receivable REC_FUT_0393,RECEIVABLE,REC_FUT_0393,CLEARED
TX_FUT_IN_00056,TATA001,CUSTOMER_PAYMENT,160936.28,2026-10-28,CUSTOMER_COLLECTION,Collection of future receivable REC_FUT_0397,RECEIVABLE,REC_FUT_0397,CLEARED
TX_FUT_OUT_00057,TATA001,SUPPLIER_PAYMENT,210891.66,2026-10-28,RAW_MATERIAL,Payment cleared for future invoice INV_FUT_0292,INVOICE,INV_FUT_0292,CLEARED
TX_FUT_OPS_00058,TATA001,OPERATING_EXPENSE,1650000.0,2026-10-28,SALARY,Corporate Employee Payroll,NONE,,CLEARED
TX_FUT_IN_00059,TATA001,CUSTOMER_PAYMENT,179760.32,2026-10-29,CUSTOMER_COLLECTION,Collection of future receivable REC_FUT_0381,RECEIVABLE,REC_FUT_0381,CLEARED
TX_FUT_IN_00060,TATA001,CUSTOMER_PAYMENT,74120.24,2026-10-29,CUSTOMER_COLLECTION,Collection of future receivable REC_FUT_0402,RECEIVABLE,REC_FUT_0402,CLEARED
TX_FUT_IN_00061,TATA001,CUSTOMER_PAYMENT,69813.45,2026-10-30,CUSTOMER_COLLECTION,Collection of future receivable REC_FUT_0395,RECEIVABLE,REC_FUT_0395,CLEARED
TX_FUT_OUT_00062,TATA001,SUPPLIER_PAYMENT,48347.47,2026-10-30,RAW_MATERIAL,Payment cleared for future invoice INV_FUT_0273,INVOICE,INV_FUT_0273,CLEARED
TX_FUT_OUT_00063,TATA001,SUPPLIER_PAYMENT,19702.15,2026-10-30,RAW_MATERIAL,Payment cleared for future invoice INV_FUT_0293,INVOICE,INV_FUT_0293,CLEARED
TX_FUT_OUT_00064,TATA001,SUPPLIER_PAYMENT,460062.9,2026-11-01,RAW_MATERIAL,Payment cleared for future invoice INV_FUT_0274,INVOICE,INV_FUT_0274,CLEARED
TX_FUT_OPS_00065,TATA001,OPERATING_EXPENSE,120000.0,2026-11-01,RENT,Facility Rental Charge,NONE,,CLEARED
TX_FUT_IN_00066,TATA001,CUSTOMER_PAYMENT,190448.02,2026-11-02,CUSTOMER_COLLECTION,Collection of future receivable REC_FUT_0400,RECEIVABLE,REC_FUT_0400,CLEARED
TX_FUT_IN_00067,TATA001,CUSTOMER_PAYMENT,60870.79,2026-11-02,CUSTOMER_COLLECTION,Collection of future receivable REC_FUT_0424,RECEIVABLE,REC_FUT_0424,CLEARED
TX_FUT_OUT_00068,TATA001,SUPPLIER_PAYMENT,121339.23,2026-11-02,RAW_MATERIAL,Payment cleared for future invoice INV_FUT_0285,INVOICE,INV_FUT_0285,CLEARED
TX_FUT_IN_00069,TATA001,CUSTOMER_PAYMENT,137877.34,2026-11-03,CUSTOMER_COLLECTION,Collection of future receivable REC_FUT_0408,RECEIVABLE,REC_FUT_0408,CLEARED
TX_FUT_IN_00070,TATA001,CUSTOMER_PAYMENT,200272.76,2026-11-04,CUSTOMER_COLLECTION,Collection of future receivable REC_FUT_0379,RECEIVABLE,REC_FUT_0379,CLEARED
TX_FUT_OUT_00071,TATA001,SUPPLIER_PAYMENT,233913.71,2026-11-04,RAW_MATERIAL,Payment cleared for future invoice INV_FUT_0275,INVOICE,INV_FUT_0275,CLEARED
TX_FUT_IN_00072,TATA001,CUSTOMER_PAYMENT,383153.32,2026-11-05,CUSTOMER_COLLECTION,Collection of future receivable REC_FUT_0414,RECEIVABLE,REC_FUT_0414,CLEARED
TX_FUT_IN_00073,TATA001,CUSTOMER_PAYMENT,154271.43,2026-11-05,CUSTOMER_COLLECTION,Collection of future receivable REC_FUT_0425,RECEIVABLE,REC_FUT_0425,CLEARED
TX_FUT_IN_00074,TATA001,CUSTOMER_PAYMENT,229474.43,2026-11-06,CUSTOMER_COLLECTION,Collection of future receivable REC_FUT_0370,RECEIVABLE,REC_FUT_0370,CLEARED
TX_FUT_IN_00075,TATA001,CUSTOMER_PAYMENT,127185.92,2026-11-06,CUSTOMER_COLLECTION,Collection of future receivable REC_FUT_0431,RECEIVABLE,REC_FUT_0431,CLEARED
TX_FUT_OUT_00076,TATA001,SUPPLIER_PAYMENT,35069.2,2026-11-06,RAW_MATERIAL,Payment cleared for future invoice INV_FUT_0277,INVOICE,INV_FUT_0277,CLEARED
TX_FUT_IN_00077,TATA001,CUSTOMER_PAYMENT,82185.48,2026-11-07,CUSTOMER_COLLECTION,Collection of future receivable REC_FUT_0434,RECEIVABLE,REC_FUT_0434,CLEARED
TX_FUT_IN_00078,TATA001,CUSTOMER_PAYMENT,54019.56,2026-11-08,CUSTOMER_COLLECTION,Collection of future receivable REC_FUT_0387,RECEIVABLE,REC_FUT_0387,CLEARED
TX_FUT_IN_00079,TATA001,CUSTOMER_PAYMENT,63738.35,2026-11-08,CUSTOMER_COLLECTION,Collection of future receivable REC_FUT_0388,RECEIVABLE,REC_FUT_0388,CLEARED
TX_FUT_IN_00080,TATA001,CUSTOMER_PAYMENT,549523.01,2026-11-09,CUSTOMER_COLLECTION,Collection of future receivable REC_FUT_0392,RECEIVABLE,REC_FUT_0392,CLEARED
TX_FUT_OUT_00081,TATA001,SUPPLIER_PAYMENT,160726.26,2026-11-09,RAW_MATERIAL,Payment cleared for future invoice INV_FUT_0280,INVOICE,INV_FUT_0280,CLEARED
TX_FUT_IN_00082,TATA001,CUSTOMER_PAYMENT,123284.19,2026-11-10,CUSTOMER_COLLECTION,Collection of future receivable REC_FUT_0436,RECEIVABLE,REC_FUT_0436,CLEARED
TX_FUT_IN_00083,TATA001,CUSTOMER_PAYMENT,326396.06,2026-11-11,CUSTOMER_COLLECTION,Collection of future receivable REC_FUT_0441,RECEIVABLE,REC_FUT_0441,CLEARED
TX_FUT_OUT_00084,TATA001,SUPPLIER_PAYMENT,44431.48,2026-11-12,RAW_MATERIAL,Payment cleared for future invoice INV_FUT_0282,INVOICE,INV_FUT_0282,CLEARED
TX_FUT_OUT_00085,TATA001,SUPPLIER_PAYMENT,49179.14,2026-11-12,RAW_MATERIAL,Payment cleared for future invoice INV_FUT_0283,INVOICE,INV_FUT_0283,CLEARED
TX_FUT_IN_00086,TATA001,CUSTOMER_PAYMENT,125749.37,2026-11-14,CUSTOMER_COLLECTION,Collection of future receivable REC_FUT_0403,RECEIVABLE,REC_FUT_0403,CLEARED
TX_FUT_OUT_00087,TATA001,SUPPLIER_PAYMENT,75933.54,2026-11-14,RAW_MATERIAL,Payment cleared for future invoice INV_FUT_0272,INVOICE,INV_FUT_0272,CLEARED
TX_FUT_OUT_00088,TATA001,SUPPLIER_PAYMENT,54245.79,2026-11-14,RAW_MATERIAL,Payment cleared for future invoice INV_FUT_0284,INVOICE,INV_FUT_0284,CLEARED
TX_FUT_IN_00089,TATA001,CUSTOMER_PAYMENT,155607.46,2026-11-15,CUSTOMER_COLLECTION,Collection of future receivable REC_FUT_0420,RECEIVABLE,REC_FUT_0420,CLEARED
TX_FUT_IN_00090,TATA001,CUSTOMER_PAYMENT,75503.65,2026-11-15,CUSTOMER_COLLECTION,Collection of future receivable REC_FUT_0440,RECEIVABLE,REC_FUT_0440,CLEARED
TX_FUT_OUT_00091,TATA001,SUPPLIER_PAYMENT,177542.07,2026-11-15,RAW_MATERIAL,Payment cleared for future invoice INV_FUT_0294,INVOICE,INV_FUT_0294,CLEARED
TX_FUT_OUT_00092,TATA001,SUPPLIER_PAYMENT,140981.75,2026-11-15,RAW_MATERIAL,Payment cleared for future invoice INV_FUT_0295,INVOICE,INV_FUT_0295,CLEARED
TX_FUT_IN_00093,TATA001,CUSTOMER_PAYMENT,83167.25,2026-11-16,CUSTOMER_COLLECTION,Collection of future receivable REC_FUT_0407,RECEIVABLE,REC_FUT_0407,CLEARED
TX_FUT_IN_00094,TATA001,CUSTOMER_PAYMENT,150811.2,2026-11-16,CUSTOMER_COLLECTION,Collection of future receivable REC_FUT_0418,RECEIVABLE,REC_FUT_0418,CLEARED
TX_FUT_IN_00095,TATA001,CUSTOMER_PAYMENT,200931.66,2026-11-17,CUSTOMER_COLLECTION,Collection of future receivable REC_FUT_0451,RECEIVABLE,REC_FUT_0451,CLEARED
TX_FUT_IN_00096,TATA001,CUSTOMER_PAYMENT,128534.2,2026-11-18,CUSTOMER_COLLECTION,Collection of future receivable REC_FUT_0389,RECEIVABLE,REC_FUT_0389,CLEARED
TX_FUT_OUT_00097,TATA001,SUPPLIER_PAYMENT,21750.78,2026-11-18,RAW_MATERIAL,Payment cleared for future invoice INV_FUT_0286,INVOICE,INV_FUT_0286,CLEARED
TX_FUT_OUT_00098,TATA001,SUPPLIER_PAYMENT,42123.78,2026-11-18,RAW_MATERIAL,Payment cleared for future invoice INV_FUT_0298,INVOICE,INV_FUT_0298,CLEARED
TX_FUT_IN_00099,TATA001,CUSTOMER_PAYMENT,171414.34,2026-11-20,CUSTOMER_COLLECTION,Collection of future receivable REC_FUT_0429,RECEIVABLE,REC_FUT_0429,CLEARED
TX_FUT_IN_00100,TATA001,CUSTOMER_PAYMENT,171792.98,2026-11-20,CUSTOMER_COLLECTION,Collection of future receivable REC_FUT_0446,RECEIVABLE,REC_FUT_0446,CLEARED
TX_FUT_OUT_00101,TATA001,SUPPLIER_PAYMENT,24945.27,2026-11-20,RAW_MATERIAL,Payment cleared for future invoice INV_FUT_0276,INVOICE,INV_FUT_0276,CLEARED
TX_FUT_IN_00102,TATA001,CUSTOMER_PAYMENT,114914.58,2026-11-21,CUSTOMER_COLLECTION,Collection of future receivable REC_FUT_0457,RECEIVABLE,REC_FUT_0457,CLEARED
TX_FUT_OUT_00103,TATA001,SUPPLIER_PAYMENT,91921.69,2026-11-21,RAW_MATERIAL,Payment cleared for future invoice INV_FUT_0287,INVOICE,INV_FUT_0287,CLEARED
TX_FUT_IN_00104,TATA001,CUSTOMER_PAYMENT,93920.86,2026-11-22,CUSTOMER_COLLECTION,Collection of future receivable REC_FUT_0391,RECEIVABLE,REC_FUT_0391,CLEARED
TX_FUT_IN_00105,TATA001,CUSTOMER_PAYMENT,75937.97,2026-11-22,CUSTOMER_COLLECTION,Collection of future receivable REC_FUT_0415,RECEIVABLE,REC_FUT_0415,CLEARED
TX_FUT_IN_00106,TATA001,CUSTOMER_PAYMENT,109358.89,2026-11-22,CUSTOMER_COLLECTION,Collection of future receivable REC_FUT_0427,RECEIVABLE,REC_FUT_0427,CLEARED
TX_FUT_OUT_00107,TATA001,SUPPLIER_PAYMENT,123851.11,2026-11-22,RAW_MATERIAL,Payment cleared for future invoice INV_FUT_0288,INVOICE,INV_FUT_0288,CLEARED
TX_FUT_OUT_00108,TATA001,SUPPLIER_PAYMENT,365186.56,2026-11-22,RAW_MATERIAL,Payment cleared for future invoice INV_FUT_0289,INVOICE,INV_FUT_0289,CLEARED
TX_FUT_OUT_00109,TATA001,SUPPLIER_PAYMENT,140674.24,2026-11-22,RAW_MATERIAL,Payment cleared for future invoice INV_FUT_0301,INVOICE,INV_FUT_0301,CLEARED
TX_FUT_IN_00110,TATA001,CUSTOMER_PAYMENT,49401.14,2026-11-23,CUSTOMER_COLLECTION,Collection of future receivable REC_FUT_0417,RECEIVABLE,REC_FUT_0417,CLEARED
TX_FUT_IN_00111,TATA001,CUSTOMER_PAYMENT,87952.77,2026-11-23,CUSTOMER_COLLECTION,Collection of future receivable REC_FUT_0430,RECEIVABLE,REC_FUT_0430,CLEARED
TX_FUT_IN_00112,TATA001,CUSTOMER_PAYMENT,30731.05,2026-11-23,CUSTOMER_COLLECTION,Collection of future receivable REC_FUT_0437,RECEIVABLE,REC_FUT_0437,CLEARED
TX_FUT_IN_00113,TATA001,CUSTOMER_PAYMENT,254304.43,2026-11-24,CUSTOMER_COLLECTION,Collection of future receivable REC_FUT_0433,RECEIVABLE,REC_FUT_0433,CLEARED
TX_FUT_OUT_00114,TATA001,SUPPLIER_PAYMENT,412752.65,2026-11-24,RAW_MATERIAL,Payment cleared for future invoice INV_FUT_0304,INVOICE,INV_FUT_0304,CLEARED
TX_FUT_IN_00115,TATA001,CUSTOMER_PAYMENT,164960.01,2026-11-26,CUSTOMER_COLLECTION,Collection of future receivable REC_FUT_0419,RECEIVABLE,REC_FUT_0419,CLEARED
TX_FUT_IN_00116,TATA001,CUSTOMER_PAYMENT,155414.54,2026-11-26,CUSTOMER_COLLECTION,Collection of future receivable REC_FUT_0459,RECEIVABLE,REC_FUT_0459,CLEARED
TX_FUT_IN_00117,TATA001,CUSTOMER_PAYMENT,84620.34,2026-11-28,CUSTOMER_COLLECTION,Collection of future receivable REC_FUT_0435,RECEIVABLE,REC_FUT_0435,CLEARED
TX_FUT_IN_00118,TATA001,CUSTOMER_PAYMENT,73965.96,2026-11-28,CUSTOMER_COLLECTION,Collection of future receivable REC_FUT_0443,RECEIVABLE,REC_FUT_0443,CLEARED
TX_FUT_OPS_00119,TATA001,OPERATING_EXPENSE,1650000.0,2026-11-28,SALARY,Corporate Employee Payroll,NONE,,CLEARED
TX_FUT_IN_00120,TATA001,CUSTOMER_PAYMENT,116188.52,2026-11-29,CUSTOMER_COLLECTION,Collection of future receivable REC_FUT_0428,RECEIVABLE,REC_FUT_0428,CLEARED
TX_FUT_OUT_00121,TATA001,SUPPLIER_PAYMENT,49806.19,2026-11-29,RAW_MATERIAL,Payment cleared for future invoice INV_FUT_0308,INVOICE,INV_FUT_0308,CLEARED
TX_FUT_OUT_00122,TATA001,SUPPLIER_PAYMENT,81003.06,2026-11-29,RAW_MATERIAL,Payment cleared for future invoice INV_FUT_0309,INVOICE,INV_FUT_0309,CLEARED
TX_FUT_IN_00123,TATA001,CUSTOMER_PAYMENT,141064.37,2026-12-01,CUSTOMER_COLLECTION,Collection of future receivable REC_FUT_0439,RECEIVABLE,REC_FUT_0439,CLEARED
TX_FUT_IN_00124,TATA001,CUSTOMER_PAYMENT,44524.15,2026-12-01,CUSTOMER_COLLECTION,Collection of future receivable REC_FUT_0450,RECEIVABLE,REC_FUT_0450,CLEARED
TX_FUT_OPS_00125,TATA001,OPERATING_EXPENSE,120000.0,2026-12-01,RENT,Facility Rental Charge,NONE,,CLEARED
TX_FUT_IN_00126,TATA001,CUSTOMER_PAYMENT,407098.3,2026-12-02,CUSTOMER_COLLECTION,Collection of future receivable REC_FUT_0444,RECEIVABLE,REC_FUT_0444,CLEARED
TX_FUT_IN_00127,TATA001,CUSTOMER_PAYMENT,171981.26,2026-12-02,CUSTOMER_COLLECTION,Collection of future receivable REC_FUT_0452,RECEIVABLE,REC_FUT_0452,CLEARED
TX_FUT_IN_00128,TATA001,CUSTOMER_PAYMENT,64203.97,2026-12-02,CUSTOMER_COLLECTION,Collection of future receivable REC_FUT_0465,RECEIVABLE,REC_FUT_0465,CLEARED
TX_FUT_OUT_00129,TATA001,SUPPLIER_PAYMENT,122880.54,2026-12-02,RAW_MATERIAL,Payment cleared for future invoice INV_FUT_0296,INVOICE,INV_FUT_0296,CLEARED
TX_FUT_OUT_00130,TATA001,SUPPLIER_PAYMENT,54379.43,2026-12-02,RAW_MATERIAL,Payment cleared for future invoice INV_FUT_0297,INVOICE,INV_FUT_0297,CLEARED
TX_FUT_IN_00131,TATA001,CUSTOMER_PAYMENT,73507.66,2026-12-03,CUSTOMER_COLLECTION,Collection of future receivable REC_FUT_0449,RECEIVABLE,REC_FUT_0449,CLEARED
TX_FUT_IN_00132,TATA001,CUSTOMER_PAYMENT,93153.17,2026-12-04,CUSTOMER_COLLECTION,Collection of future receivable REC_FUT_0426,RECEIVABLE,REC_FUT_0426,CLEARED
TX_FUT_OUT_00133,TATA001,SUPPLIER_PAYMENT,102191.32,2026-12-05,RAW_MATERIAL,Payment cleared for future invoice INV_FUT_0299,INVOICE,INV_FUT_0299,CLEARED
TX_FUT_IN_00134,TATA001,CUSTOMER_PAYMENT,30000.0,2026-12-06,CUSTOMER_COLLECTION,Collection of future receivable REC_FUT_0445,RECEIVABLE,REC_FUT_0445,CLEARED
TX_FUT_OUT_00135,TATA001,SUPPLIER_PAYMENT,100743.16,2026-12-06,RAW_MATERIAL,Payment cleared for future invoice INV_FUT_0300,INVOICE,INV_FUT_0300,CLEARED
TX_FUT_IN_00136,TATA001,CUSTOMER_PAYMENT,66329.48,2026-12-07,CUSTOMER_COLLECTION,Collection of future receivable REC_FUT_0455,RECEIVABLE,REC_FUT_0455,CLEARED
TX_FUT_IN_00137,TATA001,CUSTOMER_PAYMENT,68296.6,2026-12-07,CUSTOMER_COLLECTION,Collection of future receivable REC_FUT_0456,RECEIVABLE,REC_FUT_0456,CLEARED
TX_FUT_OUT_00138,TATA001,SUPPLIER_PAYMENT,22214.17,2026-12-08,RAW_MATERIAL,Payment cleared for future invoice INV_FUT_0302,INVOICE,INV_FUT_0302,CLEARED
TX_FUT_OUT_00139,TATA001,SUPPLIER_PAYMENT,74586.42,2026-12-08,RAW_MATERIAL,Payment cleared for future invoice INV_FUT_0303,INVOICE,INV_FUT_0303,CLEARED
