decision_id,company_id,created_at,decision_type,chosen_action,confidence,reasoning,status,data_source
DEC29310234,COMP001,2025-06-19,OBLIGATION_PAYMENT,PAY_NOW,0.85,"Strong liquidity (₹3,354,535,560); HIGH obligation – paying immediately.",EXECUTED,HISTORICAL
DECC033E377,COMP001,2025-06-20,OBLIGATION_PAYMENT,PAY_NOW,0.81,"Strong liquidity (₹3,427,257,853); HIGH obligation – paying immediately.",EXECUTED,HISTORICAL
DEC87D0FDE7,COMP001,2025-06-22,OBLIGATION_PAYMENT,PAY_NOW,0.86,"Strong liquidity (₹3,428,048,819); CRITICAL obligation – paying immediately.",EXECUTED,HISTORICAL
DECBEF7F570,COMP001,2025-06-24,OBLIGATION_PAYMENT,PAY_NOW,0.89,"Strong liquidity (₹3,397,887,088); CRITICAL obligation – paying immediately.",EXECUTED,HISTORICAL
DEC907A3FC7,COMP001,2025-06-30,OBLIGATION_PAYMENT,PAY_NOW,0.92,"Strong liquidity (₹3,538,708,474); CRITICAL obligation – paying immediately.",EXECUTED,HISTORICAL
DECC60CA195,COMP001,2025-07-08,OBLIGATION_PAYMENT,PAY_NOW,0.89,"Strong liquidity (₹3,557,222,193); HIGH obligation – paying immediately.",EXECUTED,HISTORICAL
DEC2DC16D8F,COMP001,2025-07-09,OBLIGATION_PAYMENT,PAY_NOW,0.83,"Strong liquidity (₹3,541,419,429); CRITICAL obligation – paying immediately.",EXECUTED,HISTORICAL
DEC6ACCE1A3,COMP001,2025-07-09,OBLIGATION_PAYMENT,PAY_NOW,0.88,"Strong liquidity (₹3,541,419,429); HIGH obligation – paying immediately.",EXECUTED,HISTORICAL
DEC2990B0F1,COMP001,2025-07-11,OBLIGATION_PAYMENT,PAY_NOW,0.82,"Strong liquidity (₹3,677,557,438); HIGH obligation – paying immediately.",EXECUTED,HISTORICAL
DEC5567A021,COMP001,2025-07-12,OBLIGATION_PAYMENT,PAY_AT_MATURITY,0.81,Adequate cash; scheduling payment at maturity.,EXECUTED,HISTORICAL
DEC86A44AFA,COMP001,2025-07-12,OBLIGATION_PAYMENT,PAY_AT_MATURITY,0.8,Adequate cash; scheduling payment at maturity.,EXECUTED,HISTORICAL
DEC4BDC762E,COMP001,2025-07-24,OBLIGATION_PAYMENT,PAY_NOW,0.89,"Strong liquidity (₹3,539,732,584); HIGH obligation – paying immediately.",EXECUTED,HISTORICAL
DEC0CC3BE30,COMP001,2025-07-24,OBLIGATION_PAYMENT,PAY_NOW,0.91,"Strong liquidity (₹3,539,732,584); CRITICAL obligation – paying immediately.",EXECUTED,HISTORICAL
DEC99B8425A,COMP001,2025-08-01,OBLIGATION_PAYMENT,PAY_NOW,0.95,"Strong liquidity (₹3,470,384,073); HIGH obligation – paying immediately.",EXECUTED,HISTORICAL
DECF84F3BE2,COMP001,2025-08-03,OBLIGATION_PAYMENT,PAY_NOW,0.83,"Strong liquidity (₹3,503,972,097); HIGH obligation – paying immediately.",EXECUTED,HISTORICAL
DECFC350295,COMP001,2025-08-20,OBLIGATION_PAYMENT,PAY_NOW,0.91,"Strong liquidity (₹3,186,833,210); CRITICAL obligation – paying immediately.",EXECUTED,HISTORICAL
DECB33674D0,COMP001,2025-08-21,OBLIGATION_PAYMENT,PAY_AT_MATURITY,0.73,Adequate cash; scheduling payment at maturity.,EXECUTED,HISTORICAL
DECAF0CE59C,COMP001,2025-08-21,OBLIGATION_PAYMENT,PAY_NOW,0.91,"Strong liquidity (₹3,153,204,060); HIGH obligation – paying immediately.",EXECUTED,HISTORICAL
DECE9753A95,COMP001,2025-08-24,OBLIGATION_PAYMENT,PAY_NOW,0.82,"Strong liquidity (₹3,235,516,227); HIGH obligation – paying immediately.",EXECUTED,HISTORICAL
DECFBC1AF98,COMP001,2025-09-02,OBLIGATION_PAYMENT,PAY_NOW,0.91,"Strong liquidity (₹2,998,081,921); CRITICAL obligation – paying immediately.",EXECUTED,HISTORICAL
DECC8A9DB68,COMP001,2025-09-15,OBLIGATION_PAYMENT,PAY_NOW,0.84,"Strong liquidity (₹3,170,631,645); CRITICAL obligation – paying immediately.",EXECUTED,HISTORICAL
DEC69DB571C,COMP001,2025-09-19,OBLIGATION_PAYMENT,PAY_NOW,0.9,"Strong liquidity (₹3,274,125,584); CRITICAL obligation – paying immediately.",EXECUTED,HISTORICAL
DEC8E944D37,COMP001,2025-09-19,OBLIGATION_PAYMENT,PAY_NOW,0.92,"Strong liquidity (₹3,274,125,584); HIGH obligation – paying immediately.",EXECUTED,HISTORICAL
DEC4321C084,COMP001,2025-09-20,OBLIGATION_PAYMENT,PAY_NOW,0.9,"Strong liquidity (₹3,275,569,046); HIGH obligation – paying immediately.",EXECUTED,HISTORICAL
DECE30E16F1,COMP001,2025-09-20,OBLIGATION_PAYMENT,PAY_NOW,0.87,"Strong liquidity (₹3,275,569,046); CRITICAL obligation – paying immediately.",EXECUTED,HISTORICAL
DEC4EDD8622,COMP001,2025-09-20,OBLIGATION_PAYMENT,PAY_NOW,0.9,"Strong liquidity (₹3,275,569,046); CRITICAL obligation – paying immediately.",EXECUTED,HISTORICAL
DEC7D2FD67C,COMP001,2025-09-27,OBLIGATION_PAYMENT,PAY_NOW,0.87,"Strong liquidity (₹3,225,776,229); HIGH obligation – paying immediately.",EXECUTED,HISTORICAL
DEC048F2161,COMP001,2025-09-27,OBLIGATION_PAYMENT,PAY_NOW,0.92,"Strong liquidity (₹3,225,776,229); HIGH obligation – paying immediately.",EXECUTED,HISTORICAL
DEC9992603A,COMP001,2025-10-02,OBLIGATION_PAYMENT,PAY_NOW,0.86,"Strong liquidity (₹3,131,889,489); HIGH obligation – paying immediately.",EXECUTED,HISTORICAL
DEC139E22D7,COMP001,2025-10-10,OBLIGATION_PAYMENT,PAY_NOW,0.93,"Strong liquidity (₹3,284,680,045); HIGH obligation – paying immediately.",EXECUTED,HISTORICAL
DECEB2956A2,COMP001,2025-10-12,OBLIGATION_PAYMENT,PAY_NOW,0.87,"Strong liquidity (₹3,214,592,019); CRITICAL obligation – paying immediately.",EXECUTED,HISTORICAL
DECB1A8819E,COMP001,2025-10-25,OBLIGATION_PAYMENT,PAY_NOW,0.85,"Strong liquidity (₹3,195,077,695); CRITICAL obligation – paying immediately.",EXECUTED,HISTORICAL
DEC46B38838,COMP001,2025-10-27,OBLIGATION_PAYMENT,PAY_NOW,0.86,"Strong liquidity (₹3,195,086,619); CRITICAL obligation – paying immediately.",EXECUTED,HISTORICAL
DECAF637E93,COMP001,2025-11-04,OBLIGATION_PAYMENT,PAY_AT_MATURITY,0.76,Adequate cash; scheduling payment at maturity.,EXECUTED,HISTORICAL
DEC28E77477,COMP001,2025-11-09,OBLIGATION_PAYMENT,PAY_NOW,0.88,"Strong liquidity (₹3,383,952,197); HIGH obligation – paying immediately.",EXECUTED,HISTORICAL
DECB02EA059,COMP001,2025-11-13,OBLIGATION_PAYMENT,PAY_NOW,0.83,"Strong liquidity (₹3,497,816,434); CRITICAL obligation – paying immediately.",EXECUTED,HISTORICAL
DEC54A3B400,COMP001,2025-11-20,OBLIGATION_PAYMENT,PAY_AT_MATURITY,0.82,Adequate cash; scheduling payment at maturity.,EXECUTED,HISTORICAL
DEC7FF066C0,COMP001,2025-12-01,OBLIGATION_PAYMENT,PAY_NOW,0.95,"Strong liquidity (₹3,777,423,904); CRITICAL obligation – paying immediately.",EXECUTED,HISTORICAL
DECA52389B0,COMP001,2025-12-05,OBLIGATION_PAYMENT,PAY_NOW,0.85,"Strong liquidity (₹3,875,611,937); HIGH obligation – paying immediately.",EXECUTED,HISTORICAL
DEC1EBB54E5,COMP001,2025-12-07,OBLIGATION_PAYMENT,PAY_NOW,0.94,"Strong liquidity (₹3,797,266,938); HIGH obligation – paying immediately.",EXECUTED,HISTORICAL
DEC4E673F8E,COMP001,2025-12-08,OBLIGATION_PAYMENT,PAY_NOW,0.83,"Strong liquidity (₹3,756,573,485); CRITICAL obligation – paying immediately.",EXECUTED,HISTORICAL
DECAD984735,COMP001,2025-12-10,OBLIGATION_PAYMENT,PAY_NOW,0.8,"Strong liquidity (₹3,778,101,978); CRITICAL obligation – paying immediately.",EXECUTED,HISTORICAL
DECAD5DFF25,COMP001,2025-12-20,OBLIGATION_PAYMENT,PAY_NOW,0.94,"Strong liquidity (₹4,035,417,819); CRITICAL obligation – paying immediately.",EXECUTED,HISTORICAL
DECA8283E15,COMP001,2025-12-31,OBLIGATION_PAYMENT,RETAIN_CASH,0.72,Preserving liquidity for upcoming obligations.,EXECUTED,HISTORICAL
DEC384CCBFD,COMP001,2025-12-31,OBLIGATION_PAYMENT,PAY_NOW,0.81,"Strong liquidity (₹4,288,265,186); HIGH obligation – paying immediately.",EXECUTED,HISTORICAL
DECA73D8B1B,COMP001,2025-12-31,OBLIGATION_PAYMENT,PAY_NOW,0.81,"Strong liquidity (₹4,288,265,186); HIGH obligation – paying immediately.",EXECUTED,HISTORICAL
DEC9B9B4978,COMP001,2025-12-31,OBLIGATION_PAYMENT,PAY_NOW,0.92,"Strong liquidity (₹4,288,265,186); HIGH obligation – paying immediately.",EXECUTED,HISTORICAL
DEC317C999C,COMP001,2025-12-31,OBLIGATION_PAYMENT,PAY_AT_MATURITY,0.72,Adequate cash; scheduling payment at maturity.,EXECUTED,HISTORICAL
DEC0B7AF2B4,COMP001,2025-12-31,OBLIGATION_PAYMENT,PAY_AT_MATURITY,0.76,Adequate cash; scheduling payment at maturity.,EXECUTED,HISTORICAL
DECF80014E3,COMP001,2025-12-31,OBLIGATION_PAYMENT,PAY_AT_MATURITY,0.74,Adequate cash; scheduling payment at maturity.,EXECUTED,HISTORICAL
DEC_FUT_001,TATA001,2026-09-01,LIQUIDITY_MANAGEMENT,BANK_FINANCE,0.92,Future working capital tight. LOC drawn to maintain buffer.,EXECUTED,FUTURE_STREAMING
DEC_FUT_002,TATA001,2026-09-09,LIQUIDITY_MANAGEMENT,BANK_FINANCE,0.92,Future working capital tight. LOC drawn to maintain buffer.,EXECUTED,FUTURE_STREAMING
DEC_FUT_003,TATA001,2026-09-11,LIQUIDITY_MANAGEMENT,BANK_FINANCE,0.92,Future working capital tight. LOC drawn to maintain buffer.,EXECUTED,FUTURE_STREAMING
DEC_FUT_004,TATA001,2026-09-23,LIQUIDITY_MANAGEMENT,BANK_FINANCE,0.92,Future working capital tight. LOC drawn to maintain buffer.,EXECUTED,FUTURE_STREAMING
DEC_FUT_005,TATA001,2026-10-11,LIQUIDITY_MANAGEMENT,BANK_FINANCE,0.92,Future working capital tight. LOC drawn to maintain buffer.,EXECUTED,FUTURE_STREAMING
DEC_FUT_006,TATA001,2026-10-23,LIQUIDITY_MANAGEMENT,BANK_FINANCE,0.92,Future working capital tight. LOC drawn to maintain buffer.,EXECUTED,FUTURE_STREAMING
DEC_FUT_007,TATA001,2026-10-24,LIQUIDITY_MANAGEMENT,BANK_FINANCE,0.92,Future working capital tight. LOC drawn to maintain buffer.,EXECUTED,FUTURE_STREAMING
DEC_FUT_008,TATA001,2026-10-31,LIQUIDITY_MANAGEMENT,BANK_FINANCE,0.92,Future working capital tight. LOC drawn to maintain buffer.,EXECUTED,FUTURE_STREAMING
DEC_FUT_009,TATA001,2026-11-02,LIQUIDITY_MANAGEMENT,BANK_FINANCE,0.92,Future working capital tight. LOC drawn to maintain buffer.,EXECUTED,FUTURE_STREAMING
DEC_FUT_010,TATA001,2026-11-04,LIQUIDITY_MANAGEMENT,BANK_FINANCE,0.92,Future working capital tight. LOC drawn to maintain buffer.,EXECUTED,FUTURE_STREAMING
DEC_FUT_011,TATA001,2026-11-07,LIQUIDITY_MANAGEMENT,BANK_FINANCE,0.92,Future working capital tight. LOC drawn to maintain buffer.,EXECUTED,FUTURE_STREAMING
DEC_FUT_012,TATA001,2026-11-10,LIQUIDITY_MANAGEMENT,BANK_FINANCE,0.92,Future working capital tight. LOC drawn to maintain buffer.,EXECUTED,FUTURE_STREAMING
DEC_FUT_013,TATA001,2026-11-13,LIQUIDITY_MANAGEMENT,BANK_FINANCE,0.92,Future working capital tight. LOC drawn to maintain buffer.,EXECUTED,FUTURE_STREAMING
DEC_FUT_014,TATA001,2026-12-03,LIQUIDITY_MANAGEMENT,BANK_FINANCE,0.92,Future working capital tight. LOC drawn to maintain buffer.,EXECUTED,FUTURE_STREAMING
